ClassName,GlobalRef,Global,GlobalBytesUsed,GlobalKB,GlobalMB,GlobalGB,HasGlobalMap,Status,Rows,HasLog,HasCSV,SizeBytes,SizeKB,SizeMB,SizeGB,Note,BaseGlobal
SITE.MAPlabLocations,,,0.0,,,,False,OK,114.0,True,True,4151.0,4.05,0.004,4e-06,\Success\,nan
SITE.MAPlabPatLoc,,,0.0,,,,False,OK,0.0,True,True,30.0,0.03,0.0,0.0,\Success\,nan
SITE.MAPlabPatLocView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MAPlabPhone,,,0.0,,,,False,OK,0.0,True,True,28.0,0.03,0.0,0.0,\Success\,nan
SITE.MAPlabXRef,,,0.0,,,,False,OK,114.0,True,True,3363.0,3.28,0.0032,3e-06,\Success\,nan
SITE.MAPlabXRefView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MAPtLoc,,,0.0,,,,False,OK,4381.0,True,True,228698.0,223.34,0.2181,0.000213,\Success\,nan
SITE.MAPtLocView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MAQAMeth,,,0.0,,,,False,OK,7686.0,True,True,492042.0,480.51,0.4692,0.000458,\Success\,nan
SITE.MAQAMethRngVIEW,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MAQARangeSpecies,,,0.0,,,,False,OK,21708.0,True,True,658768.0,643.33,0.6283,0.000614,\Success\,nan
SITE.MARACKIDCONT,,,0.0,,,,False,OK,0.0,True,True,26.0,0.03,0.0,0.0,\Success\,nan
SITE.MARackID,,,0.0,,,,False,OK,27.0,True,True,1057.0,1.03,0.001,1e-06,\Success\,nan
SITE.MARefLab,,,0.0,,,,False,OK,35.0,True,True,3278.0,3.2,0.0031,3e-06,\Success\,nan
SITE.MASMRGenMaint,,,0.0,,,,False,OK,1.0,True,True,236.0,0.23,0.0002,0.0,\Success\,nan
SITE.MASMRHoliday,,,0.0,,,,False,OK,0.0,True,True,44.0,0.04,0.0,0.0,\Success\,nan
SITE.MASMRNumberMaint,,,0.0,,,,False,OK,1.0,True,True,367.0,0.36,0.0003,0.0,\Success\,nan
SITE.MASMROCTRNS,,,0.0,,,,False,OK,0.0,True,True,155.0,0.15,0.0001,0.0,\Success\,nan
SITE.MASMROrderCodePurge,,,0.0,,,,False,OK,5.0,True,True,102.0,0.1,0.0001,0.0,\Success\,nan
SITE.MASMRSPOTORDS,,,0.0,,,,False,OK,0.0,True,True,30.0,0.03,0.0,0.0,\Success\,nan
SITE.MASMRSpecType,,,0.0,,,,False,OK,20.0,True,True,480.0,0.47,0.0005,0.0,\Success\,nan
SITE.MASTARTSPOTRULE,,,0.0,,,,False,OK,11.0,True,True,476.0,0.46,0.0005,0.0,\Success\,nan
SITE.MASTARTSPOTSORT,,,0.0,,,,False,OK,1.0,True,True,78.0,0.08,0.0001,0.0,\Success\,nan
SITE.MASpotID,,,0.0,,,,False,OK,350.0,True,True,30774.0,30.05,0.0293,2.9e-05,\Success\,nan
SITE.MASpotIDChildSpotIDView,,,0.0,,,,False,SKIPPED,0.0,True,False,0.0,,,,\No scalar properties to export\,nan
SITE.MASpotIDChildSpotIDXRef,,,0.0,,,,False,OK,345.0,True,True,2328.0,2.27,0.0022,2e-06,\Success\,nan
SITE.MASpotIDContainerList,,,0.0,,,,False,OK,28796.0,True,True,518476.0,506.32,0.4945,0.000483,\Success\,nan
